"word","definition"
"F"," Tarehintsoratra fahadimy ary renitsoratra fahatelo amin'ny abidy malagasy, mitonona hoe fi na fe. Miova ho p amin'ny fanakambanan-teny tsotra (latsaka-faka = latsa-paka), fa maty fotsiny kosa amin'ny famoronana matoantenin'ny mpanao mitovona man-, izay tonga mam- amin' izay : man+fototra =mamototra."
"Fa"," a. : Ny feo fahefatra amin' ireo ambaratongam-peo fito amin' ny gama."
"Fa"," p,mt. : Mitovy hevitra amin'ny nefa, saingy : Kely vatana izy, fa matanjaka. / ppt.: Mitovy hevitra amin'ny satria: Tsy afaka hiasa aho anio fa manavy."
"Fadidirana"," (fadiditra) mt.ih, (fadidiro) : Ampifanolanina, ampifampidipidirina : Fadi-diro io rantsankazo io."
"Fadiditra"," na Ladinintrambo o. : Anaran' aretina mitovitovy amin'ny tandomerina, saingy mitsoriadriaka lavalava ny fivontosana aminy fa tsy mitapelapelaka vorivory."
"Fadiditra"," a. : Fihoronan-kofehy na tady saro-bahana, fifamatopatorana mila tsy ho hi-ta lanfny. - t.i.f. : Fadidirana, afadidi-~ira, voafadiditra, tafadiditra / mifadiditra,fifadiditra,mpifadiditra / ifadidirana, fifadidirana f mahafadiditra."
"Fadimbolana"," a. : Fahataitairan'ny bibivavy mitady lahy. / Teny enti-milaza ny andro ahatongavan' ny fotoanan'ny vehivavy, izay atao koa hoe ny isam-bolana."
"Fadin-dambo amin'amboa"," tsY azo atao mihitsY na manao ahoana na manao ahoana."
"Fadin-tseranana"," haba aloa eo amin'ny seranana amin'ny entana midina eo."
"Fadina"," (fady) mt.ih. ( fadio) : Enti-milaza ny zavatra tsy hanina noho ny antony samihafa na atao an-tsitrapo : Fa dio ny trondro fa tsy mahasalama anao."
"fadinay","avy amn teny oe FADY,na zavatra tsy azo atao sy andraràna,ny Fadinay zany dia oe;FADY-NAY,zavatra andraràna anay, Ahitsio"
"Fadintseranana"," a. : Vola alaina amin'ny varotra atao amin' ny seranana na amin'ny zavatra mandalo eo aminy. (A-narana nomendRadama rainy io, izay mifanaraka amin' ny fomban-tany efa nisy taloha ihany satria, fahiny, raha namono omby teo an-tokotanin' olona, ohatra, dia nomena ny tompon'ny tokotany ny fadiny),"
"Fadiny"," a. : Izay rehetra ao anatin'ny bibY vonoina, toy ny omby, kisoa..., ivelan'ny hena sy ny taolana. Fadinkena : Ny ao anatin'ny omby vonoina."
"Fadirana"," (faditra) mt,ih. (fadiro) : Alana faditra : Fadirana amin'ny tany nilatsaham-baratra ny loza atahorana hihatra."
"Fadiranovana"," (faditra-ovana) p.t. : Mahantra fara fahoriana."
"Faditra"," a. : Zava-dratsy na loza atolaky ny sasany amin' ny tena ka sorohina na alana amin'ny fombafomba efa raikitra. 1 Zavatra atao mba hanalana io loza na zava-dratsy ataon'ny olona ny tena io. Raha manala faditra, dia mitsangana eo anaty varavarana mitondra ny zavatra a-tao faditra : akoholahy me-na, akoho mainty tokam-bolo, ondry mazava loha, tapakazo, bozaka amana ahitra, orana... eny an-tanana dia miteny hoe : Faditra! Faditra! Ho lasan'itti izay tsy tsara; ho lasan'it5s izay tsy soa e! Andriamanitra, e! Andriananahary - t.i.f. : Fadirana, afaditra, voafaditra 1 mifaditra, fifaditra, mpifaditra / ifadirana, fifadirana."
"Fady"," a. : Zavatra voararan' ny fomban-dRazana na ny Razana mihitsY tsy hatao na hohanina na hokasihina na hodiavina : Fadin'ny foko sasany ny kisoa. / Tsy azo anaovan-javatra na voarara tsy ho azo anaovan-javatra : Andro fady ny alatsinainy hoy ireo mpinomino foana. 1 Zavatra tsY fanaom-bahoa-ka na tsy fanao am-pahibe- maso : Tsarouy, anaka, fa fady ny mitsatsaingoka raha misy ray aman-dreny miteny. 1 Zavatra heverina ho tsy azon'ny tena atao, na noho ny finoana, na noho ny eritreritra aman-tsitrapo :Fady ahy, tompoko, ny ha-ka zauatr'olona tsy an-drariny. - t.i.f.: Fadina,voafady/mifady, fifady, mpifadyl ifadiana, fifadiana. ~ F.-p. : Andro fady : andro voatondron' ny mpisorontsamPY taloha ho andro masina fanandratana ny sampy ka tsy azo nanaovan-draharaha (ny alakamisY)- / Biby fady : biby noheverin'ny foko sasany ho razanY na nanao soa ny razany ka tsy azo novonoina. / Fady fotsy na fady mantsasoka : fady tapanY ihany, toy ny mifady kisoa nefa mihinana ny menany. / Ala fady : Vola omena ny mpandevina. / Aza fady : teny atao mba hialan-tstnY raha te hiangavy olona. / Aza mahafady : mitovy amin'ny aza fady ihany. / Fadia foura : teny ilazana olona tebahina aoka izany raha miteny azy. / Fadin-tany : tsy azo atao amin'ny tany lazaina. f"
"Fady izany"," sanatria izany, / Ilay fady : ilay ratsY, ilay tsY valahara. / Mahauoa fady na mamoa fady : enti-milaza zavatra mahamenatra loatra. / Mandry fady : olona mamohehadoza satria mandry amin'ny olom-pady. ¶ M,h, : Mifotitra). / Manota fady : mandika fady. 10lom-pady : olona tsy azo alaina ho uadY satria havana akaikY. ¶ M. h. : Olon-tsy heny."
"Fafa"," a. : Fanalana ny loto, fanadiovana zavatra na toerana : Ratsy fafa izany trano izany. - t.i.f. : Fafana, afafa, voafafa, finafa / mamafa, famafa, mpamafa / amafana, famafana 1 mifafa, fifafa, mpifafa I ifafana, fifafana 1 mahamafa. -  F.-p, : Fafa uandana : fomba famafana tsizarizary na zara fa vita : Ianao izany lahy, anaka, manao fafa vanda-na. / Mifafa kiho : mahita loza, lany harena. / Fafam-bolontondro : Ilazana zavatra nisy nangalatra na nipaoka ka tsy misy na inona na inona tafajanona azon'ny volon'ny tondro na fanondro fafana. / Fafanimondry : ilazana zavatra maro nisy nangalatra na nipaoka. ¶ M. h. : Mamafa, mifafa, manraoka, mifaoka, manala loto. Mafafa, fafam-bolotondro, fafanimondry, lany, lifa, malifa, naiifa, fongana, tapitra, tsy misy miangana."
"Fafana"," (fafa) mt.ih. (fafao) : Esorina ny loto, ny fako amin'ny zavatra na toerana iray. : Fafao tsara ny efitrano fandriana. / Faohina : Efa nofafako ny latabatra. • Alaina tsy misy avala na kely aza : Nofafan'ny mpangolatra ny entanay tany ambaniuohitra,"
"Fafana"," a : Hazo fisaka natao solontsolaitra nanoratana tamin'ny andro taloha : Nasiana menaka kely aloha ny fa-fana, isaky ny anoratana, dia norarahana uouoka."
"Fafana"," o. : Fofona manitra mamerovero mandraraka eran'ny toerana izay. - t.i.f. : Mamafana, famafana / amafanana."
"Fafatra"," Fihasimban'ny Fatratra : (jar. it?)."
"Fafazana"," (fafY) mt. pdr. (fafuzo) : Enti-milaza ny toerana asiana fafy, voam-bary na voan'anana apariaka amin'ny tany mba haniry : Hofafazako uary ity tany itS'. ? Asiana : Nofafazany tehamoina ny zanany."
"Fafirano"," a.: Tsodrano."
